Epoch	loss
Epoch: 63	total: 15464.668945	BCE: 15347.911830	KLD: 23.351485	KLD_var: 1.785864
Epoch: 64	total: 15233.503209	BCE: 15130.018555	KLD: 20.696891	KLD_var: 1.709627
Epoch: 65	total: 15014.982143	BCE: 14897.796875	KLD: 23.437095	KLD_var: 1.738054
Epoch: 66	total: 15025.782645	BCE: 14910.280552	KLD: 23.100426	KLD_var: 1.821433
Epoch: 67	total: 14846.820173	BCE: 14739.538086	KLD: 21.456398	KLD_var: 1.369481
Epoch: 68	total: 15126.322405	BCE: 15013.261021	KLD: 22.612294	KLD_var: 1.174516
Epoch: 69	total: 14777.205078	BCE: 14664.066546	KLD: 22.627671	KLD_var: 1.343902
Epoch: 70	total: 14911.874860	BCE: 14795.002790	KLD: 23.374371	KLD_var: 1.414454
Epoch: 71	total: 14751.265765	BCE: 14634.274554	KLD: 23.398263	KLD_var: 1.166457
Epoch: 72	total: 14907.761021	BCE: 14786.920061	KLD: 24.168198	KLD_var: 1.223532
Epoch: 73	total: 15103.028739	BCE: 14985.069894	KLD: 23.591794	KLD_var: 1.259655
Epoch: 74	total: 14861.647740	BCE: 14750.085938	KLD: 22.312356	KLD_var: 1.253815
Epoch: 75	total: 14630.372628	BCE: 14513.042969	KLD: 23.465905	KLD_var: 1.103674
Epoch: 76	total: 14504.155273	BCE: 14387.858538	KLD: 23.259323	KLD_var: 1.176526
Epoch: 77	total: 14687.134905	BCE: 14569.146763	KLD: 23.597622	KLD_var: 0.968716
Epoch: 78	total: 14702.406529	BCE: 14582.693917	KLD: 23.942508	KLD_var: 1.182640
Epoch: 79	total: 14248.888114	BCE: 14131.761021	KLD: 23.425406	KLD_var: 1.017606
Epoch: 80	total: 14635.379046	BCE: 14515.709682	KLD: 23.933865	KLD_var: 0.884438
Epoch: 81	total: 14316.627511	BCE: 14199.976702	KLD: 23.330131	KLD_var: 0.895184
Epoch: 82	total: 14499.835379	BCE: 14387.948800	KLD: 22.377341	KLD_var: 0.913385
Epoch: 83	total: 14476.218052	BCE: 14360.118722	KLD: 23.219858	KLD_var: 0.861397
Epoch: 84	total: 14445.896345	BCE: 14330.200195	KLD: 23.139175	KLD_var: 0.785776
Epoch: 85	total: 14363.346401	BCE: 14246.432617	KLD: 23.382759	KLD_var: 0.907429
Epoch: 86	total: 14564.378627	BCE: 14445.806362	KLD: 23.714411	KLD_var: 0.723420
Epoch: 87	total: 14553.977958	BCE: 14431.370815	KLD: 24.521436	KLD_var: 0.861133
Epoch: 88	total: 14718.952706	BCE: 14604.828544	KLD: 22.824849	KLD_var: 0.774275
Epoch: 89	total: 14476.499023	BCE: 14362.515067	KLD: 22.796752	KLD_var: 0.733425
Epoch: 90	total: 14298.991071	BCE: 14180.112165	KLD: 23.775775	KLD_var: 0.689936
Epoch: 91	total: 14550.978237	BCE: 14427.998186	KLD: 24.596033	KLD_var: 0.738685
Epoch: 92	total: 13974.641183	BCE: 13856.061105	KLD: 23.716018	KLD_var: 0.731623
Epoch: 93	total: 14092.608956	BCE: 13979.915039	KLD: 22.538749	KLD_var: 0.608118
Epoch: 94	total: 14325.689732	BCE: 14209.199219	KLD: 23.298119	KLD_var: 0.612384
Epoch: 95	total: 14451.969866	BCE: 14335.998744	KLD: 23.194221	KLD_var: 0.853062
Epoch: 96	total: 14312.121094	BCE: 14193.564453	KLD: 23.711360	KLD_var: 0.572742
Epoch: 97	total: 14405.964844	BCE: 14289.603097	KLD: 23.272333	KLD_var: 0.684287
Epoch: 98	total: 14445.664481	BCE: 14324.725586	KLD: 24.187775	KLD_var: 0.671063
Epoch: 99	total: 14435.249721	BCE: 14317.605190	KLD: 23.528935	KLD_var: 0.602319
Epoch: 100	total: 14292.247349	BCE: 14171.496373	KLD: 24.150192	KLD_var: 0.691520
Epoch: 101	total: 14157.208705	BCE: 14039.278739	KLD: 23.585976	KLD_var: 0.645505
Epoch: 102	total: 14188.713588	BCE: 14075.223214	KLD: 22.698103	KLD_var: 0.689417
Epoch: 103	total: 13954.617467	BCE: 13836.397461	KLD: 23.643976	KLD_var: 0.616229
Epoch: 104	total: 13927.598633	BCE: 13810.963030	KLD: 23.327134	KLD_var: 0.628754
Epoch: 105	total: 13790.510742	BCE: 13673.663086	KLD: 23.369576	KLD_var: 0.686632
Epoch: 106	total: 13935.911412	BCE: 13814.208426	KLD: 24.340607	KLD_var: 0.681392
Epoch: 107	total: 14005.523856	BCE: 13886.267299	KLD: 23.851307	KLD_var: 0.622660
Epoch: 108	total: 14029.756278	BCE: 13916.348214	KLD: 22.681598	KLD_var: 0.591995
Epoch: 109	total: 13905.841797	BCE: 13788.273577	KLD: 23.513612	KLD_var: 0.654935
Epoch: 110	total: 14085.996233	BCE: 13966.096959	KLD: 23.979832	KLD_var: 0.559044
Epoch: 111	total: 13851.578544	BCE: 13738.227539	KLD: 22.670183	KLD_var: 0.539328
Epoch: 112	total: 13907.962333	BCE: 13795.238979	KLD: 22.544663	KLD_var: 0.535936
Epoch: 113	total: 13908.115792	BCE: 13790.908343	KLD: 23.441462	KLD_var: 0.469869
Epoch: 114	total: 13915.919085	BCE: 13800.233677	KLD: 23.137112	KLD_var: 0.609220
Epoch: 115	total: 13964.349888	BCE: 13843.898158	KLD: 24.090316	KLD_var: 0.626445
Epoch: 116	total: 13885.968750	BCE: 13770.805664	KLD: 23.032604	KLD_var: 0.635531
Epoch: 117	total: 13986.338030	BCE: 13870.464425	KLD: 23.174730	KLD_var: 0.543788
Epoch: 118	total: 14073.211914	BCE: 13957.815848	KLD: 23.079229	KLD_var: 0.547852
Epoch: 119	total: 13954.742188	BCE: 13838.452567	KLD: 23.257901	KLD_var: 0.537142
Epoch: 120	total: 14096.494280	BCE: 13978.955776	KLD: 23.507669	KLD_var: 0.519032
Epoch: 121	total: 14065.746512	BCE: 13948.765904	KLD: 23.396100	KLD_var: 0.583376
Epoch: 122	total: 14573.864258	BCE: 14458.706752	KLD: 23.031517	KLD_var: 0.535579
Epoch: 123	total: 14103.496652	BCE: 13982.928850	KLD: 24.113528	KLD_var: 0.503681
Epoch: 124	total: 14049.083984	BCE: 13931.993722	KLD: 23.418063	KLD_var: 0.684256
