Epoch	loss
Epoch: 0	total: 45086.677455	BCE: 45086.215960	KLD: 0.461177	KLD_var: 0.003942
Epoch: 1	total: 40046.838728	BCE: 39915.003069	KLD: 131.835354	KLD_var: 305.628469
Epoch: 2	total: 23786.867467	BCE: 23656.622768	KLD: 130.244610	KLD_var: 167.074620
Epoch: 3	total: 20582.532785	BCE: 20446.706892	KLD: 135.825801	KLD_var: 111.618382
Epoch: 4	total: 20230.522600	BCE: 20035.591797	KLD: 194.931013	KLD_var: 299.985045
Epoch: 5	total: 19634.540737	BCE: 19391.162388	KLD: 243.378503	KLD_var: 543.174457
Epoch: 6	total: 19441.432478	BCE: 19269.879604	KLD: 171.552484	KLD_var: 180.762388
Epoch: 7	total: 19247.220424	BCE: 19132.226283	KLD: 114.993829	KLD_var: 149.332957
Epoch: 8	total: 18793.165597	BCE: 18705.591239	KLD: 87.574886	KLD_var: 107.330965
Epoch: 9	total: 18761.991211	BCE: 18684.788225	KLD: 77.203062	KLD_var: 87.120268
Epoch: 10	total: 18380.015625	BCE: 18301.357701	KLD: 78.657764	KLD_var: 94.699948
Epoch: 11	total: 18956.965402	BCE: 18880.021624	KLD: 76.943830	KLD_var: 90.920419
Epoch: 12	total: 18652.860491	BCE: 18583.820452	KLD: 69.040097	KLD_var: 75.760220
Epoch: 13	total: 18787.518276	BCE: 18725.554688	KLD: 61.963480	KLD_var: 67.016959
Epoch: 14	total: 19147.878069	BCE: 19091.752093	KLD: 56.125961	KLD_var: 55.914168
Epoch: 15	total: 18473.079241	BCE: 18427.250000	KLD: 45.829369	KLD_var: 37.055116
Epoch: 16	total: 18308.025251	BCE: 18265.694754	KLD: 42.330200	KLD_var: 32.423518
Epoch: 17	total: 18203.924944	BCE: 18163.672154	KLD: 40.252984	KLD_var: 28.218925
Epoch: 18	total: 18367.679967	BCE: 18332.677734	KLD: 35.002128	KLD_var: 18.800459
Epoch: 19	total: 17626.202985	BCE: 17592.125419	KLD: 34.077636	KLD_var: 15.312089
Epoch: 20	total: 17776.136440	BCE: 17743.481864	KLD: 32.654603	KLD_var: 13.512678
Epoch: 21	total: 17399.633092	BCE: 17367.738560	KLD: 31.894875	KLD_var: 12.841401
Epoch: 22	total: 16626.783622	BCE: 16587.503209	KLD: 39.280497	KLD_var: 14.048973
Epoch: 23	total: 16852.616908	BCE: 16808.525670	KLD: 44.090976	KLD_var: 15.003128
Epoch: 24	total: 17055.301200	BCE: 17012.774275	KLD: 42.527102	KLD_var: 17.075123
Epoch: 25	total: 16726.995257	BCE: 16685.237165	KLD: 41.757955	KLD_var: 18.459971
Epoch: 26	total: 16529.995675	BCE: 16490.512835	KLD: 39.482984	KLD_var: 14.047578
Epoch: 27	total: 16503.702846	BCE: 16463.870536	KLD: 39.832408	KLD_var: 13.402168
Epoch: 28	total: 16459.486189	BCE: 16418.830078	KLD: 40.656249	KLD_var: 13.697238
Epoch: 29	total: 16117.040597	BCE: 16076.579799	KLD: 40.460568	KLD_var: 11.640511
Epoch: 30	total: 15837.596540	BCE: 15799.216936	KLD: 38.379494	KLD_var: 10.503083
Epoch: 31	total: 16033.745117	BCE: 15994.597796	KLD: 39.147382	KLD_var: 9.022848
Epoch: 32	total: 15911.400251	BCE: 15874.438895	KLD: 36.961114	KLD_var: 6.809944
Epoch: 33	total: 16058.453544	BCE: 16020.750000	KLD: 37.703471	KLD_var: 6.265915
Epoch: 34	total: 16036.940151	BCE: 16001.611747	KLD: 35.328451	KLD_var: 6.064578
Epoch: 35	total: 15916.722656	BCE: 15884.217494	KLD: 32.505161	KLD_var: 3.734185
Epoch: 36	total: 15923.493164	BCE: 15889.228376	KLD: 34.264605	KLD_var: 4.654099
Epoch: 37	total: 15861.147182	BCE: 15826.562360	KLD: 34.584940	KLD_var: 5.595197
Epoch: 38	total: 15983.984375	BCE: 15949.629325	KLD: 34.354917	KLD_var: 5.066981
Epoch: 39	total: 15968.300084	BCE: 15937.055525	KLD: 31.244544	KLD_var: 3.676540
Epoch: 40	total: 15556.340541	BCE: 15525.311105	KLD: 31.029143	KLD_var: 4.209136
Epoch: 41	total: 15618.171875	BCE: 15585.184291	KLD: 32.987559	KLD_var: 4.472028
Epoch: 42	total: 15682.822266	BCE: 15648.994559	KLD: 33.827687	KLD_var: 4.218523
Epoch: 43	total: 15747.404715	BCE: 15710.677595	KLD: 36.727362	KLD_var: 3.738915
Epoch: 44	total: 15752.948661	BCE: 15718.250279	KLD: 34.698344	KLD_var: 4.585750
Epoch: 45	total: 15315.566964	BCE: 15283.791155	KLD: 31.776023	KLD_var: 2.901915
Epoch: 46	total: 15596.965960	BCE: 15560.883650	KLD: 36.082334	KLD_var: 4.073931
Epoch: 47	total: 15136.270926	BCE: 15099.037528	KLD: 37.233184	KLD_var: 4.337697
Epoch: 48	total: 15638.655831	BCE: 15604.876814	KLD: 33.778936	KLD_var: 3.058390
Epoch: 49	total: 15564.239537	BCE: 15528.348075	KLD: 35.891699	KLD_var: 3.825166
Epoch: 50	total: 15597.268694	BCE: 15563.309570	KLD: 33.959351	KLD_var: 2.867204
Epoch: 51	total: 15381.459821	BCE: 15346.278599	KLD: 35.181486	KLD_var: 2.905528
Epoch: 52	total: 15391.128767	BCE: 15353.906529	KLD: 37.222395	KLD_var: 3.608353
Epoch: 53	total: 15245.847935	BCE: 15213.032227	KLD: 32.815930	KLD_var: 3.017922
Epoch: 54	total: 15374.365653	BCE: 15340.516323	KLD: 33.849118	KLD_var: 2.216724
Epoch: 55	total: 15343.580636	BCE: 15309.135463	KLD: 34.445194	KLD_var: 2.521746
Epoch: 56	total: 15413.087472	BCE: 15378.920201	KLD: 34.167210	KLD_var: 2.421992
Epoch: 57	total: 15127.795898	BCE: 15091.227121	KLD: 36.568599	KLD_var: 3.019160
Epoch: 58	total: 15396.278460	BCE: 15361.458845	KLD: 34.819557	KLD_var: 2.786853
Epoch: 59	total: 15247.064035	BCE: 15210.957729	KLD: 36.106183	KLD_var: 3.167970
Epoch: 60	total: 14988.605887	BCE: 14953.902762	KLD: 34.703384	KLD_var: 2.657087
Epoch: 61	total: 15194.210658	BCE: 15160.974609	KLD: 33.236031	KLD_var: 2.264356
Epoch: 62	total: 15022.508510	BCE: 14987.059710	KLD: 35.448698	KLD_var: 2.894629
Epoch: 63	total: 14858.075474	BCE: 14822.811244	KLD: 35.264057	KLD_var: 2.651777
